sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_full_text
c630ebcdf30652f0422c3ec12a00b50241dc9bd9,CZI,Angiotensin-converting enzyme 2 (ACE2) as a SARS-CoV-2 receptor: molecular mechanisms and potential therapeutic target,10.1007/s00134-020-05985-9,,32125455,cc-by-nc,,2020,"Zhang, Haibo; Penninger, Josef M.; Li, Yimin; Zhong, Nanshan; Slutsky, Arthur S.",Intensive Care Med,2002765492,#3252,True
53eccda7977a31e3d0f565c884da036b1e85438e,CZI,Comparative genetic analysis of the novel coronavirus (2019-nCoV/SARS-CoV-2) receptor ACE2 in different populations,10.1038/s41421-020-0147-1,,,cc-by,,2020,"Cao, Yanan; Li, Lin; Feng, Zhimin; Wan, Shengqing; Huang, Peide; Sun, Xiaohui; Wen, Fang; Huang, Xuanlin; Ning, Guang; Wang, Weiqing",Cell Discovery,3003430844,#1861,True
210a892deb1c61577f6fba58505fd65356ce6636,CZI,Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data,10.3390/jcm9020538,,,cc-by,"The geographic spread of 2019 novel coronavirus (COVID-19) infections from the epicenter of Wuhan, China, has provided an opportunity to study the natural history of the recently emerged virus. Using publicly available event-date data from the ongoing epidemic, the present study investigated the incubation period and other time intervals that govern the epidemiological dynamics of COVID-19 infections. Our results show that the incubation period falls within the range of 2&ndash;14 days with 95% confidence and has a mean of around 5 days when approximated using the best-fit lognormal distribution. The mean time from illness onset to hospital admission (for treatment and/or isolation) was estimated at 3&ndash;4 days without truncation and at 5&ndash;9 days when right truncated. Based on the 95th percentile estimate of the incubation period, we recommend that the length of quarantine should be at least 14 days. The median time delay of 13 days from illness onset to death (17 days with right truncation) should be considered when estimating the COVID-19 case fatality risk.",2020,"Linton, M. Natalie; Kobayashi, Tetsuro; Yang, Yichi; Hayashi, Katsuma; Akhmetzhanov, R. Andrei; Jung, Sung-mok; Yuan, Baoyin; Kinoshita, Ryo; Nishiura, Hiroshi",Journal of Clinical Medicine,3006065484,#1043,True
e3b40cc8e0e137c416b4a2273a4dca94ae8178cc,CZI,Characteristics of and Public Health Responses to the Coronavirus Disease 2019 Outbreak in China,10.3390/jcm9020575,,32093211,cc-by,"In December 2019, cases of unidentified pneumonia with a history of exposure in the Huanan Seafood Market were reported in Wuhan, Hubei Province. A novel coronavirus, SARS-CoV-2, was identified to be accountable for this disease. Human-to-human transmission is confirmed, and this disease (named COVID-19 by World Health Organization (WHO)) spread rapidly around the country and the world. As of 18 February 2020, the number of confirmed cases had reached 75,199 with 2009 fatalities. The COVID-19 resulted in a much lower case-fatality rate (about 2.67%) among the confirmed cases, compared with Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Syndrome (MERS). Among the symptom composition of the 45 fatality cases collected from the released official reports, the top four are fever, cough, short of breath, and chest tightness/pain. The major comorbidities of the fatality cases include hypertension, diabetes, coronary heart disease, cerebral infarction, and chronic bronchitis. The source of the virus and the pathogenesis of this disease are still unconfirmed. No specific therapeutic drug has been found. The Chinese Government has initiated a level-1 public health response to prevent the spread of the disease. Meanwhile, it is also crucial to speed up the development of vaccines and drugs for treatment, which will enable us to defeat COVID-19 as soon as possible.",2020,"Deng, Sheng-Qun; Peng, Hong-Juan",J Clin Med,177663115,#1999,True
92c2c9839304b4f2bc1276d41b1aa885d8b364fd,CZI,Imaging changes in severe COVID-19 pneumonia,10.1007/s00134-020-05976-w,,32125453,cc-by-nc,,2020,"Zhang, Wei",Intensive Care Med,3006643024,#3242,False
0df0d5270a9399cf4e23c0cdd877a80616a9725e,CZI,An updated estimation of the risk of transmission of the novel coronavirus (2019-nCov),10.1016/j.idm.2020.02.001,,,cc-by-nc-nd,"The basic reproduction number of an infectious agent is the average number of infections one case can generate over the course of the infectious period, in a naïve, uninfected population. It is well-known that the estimation of this number may vary due to several methodological issues, including different assumptions and choice of parameters, utilized models, used datasets and estimation period. With the spreading of the novel coronavirus (2019-nCoV) infection, the reproduction number has been found to vary, reflecting the dynamics of transmission of the coronavirus outbreak as well as the case reporting rate. Due to significant variations in the control strategies, which have been changing over time, and thanks to the introduction of detection technologies that have been rapidly improved, enabling to shorten the time from infection/symptoms onset to diagnosis, leading to faster confirmation of the new coronavirus cases, our previous estimations on the transmission risk of the 2019-nCoV need to be revised. By using time-dependent contact and diagnose rates, we refit our previously proposed dynamics transmission model to the data available until January 29th 2020 and re-estimated the effective daily reproduction ratio that better quantifies the evolution of the interventions. We estimated when the effective daily reproduction ratio has fallen below 1 and when the epidemics will peak. Our updated findings suggest that the best measure is persistent and strict self-isolation. The epidemics will continue to grow, and can peak soon with the peak time depending highly on the public health interventions practically implemented.",2020,"Tang, Biao; Bragazzi, Nicola Luigi; Li, Qian; Tang, Sanyi; Xiao, Yanni; Wu, Jianhong",Infectious Disease Modelling,3006028839,#729,True
f24242580be243d5fc3f432915d86af6854bb8b7,CZI,"Real-time forecasts of the 2019-nCoV epidemic in China from February 5th to February 24th, 2020",10.1016/j.idm.2020.02.002,,,cc-by-nc-nd,"The initial cluster of severe pneumonia cases that triggered the 2019-nCoV epidemic was identified in Wuhan, China in December 2019. While early cases of the disease were linked to a wet market, human-to-human transmission has driven the rapid spread of the virus throughout China. The Chinese government has implemented containment strategies of city-wide lockdowns, screening at airports and train stations, and isolation of suspected patients; however, the cumulative case count keeps growing every day. The ongoing outbreak presents a challenge for modelers, as limited data are available on the early growth trajectory, and the epidemiological characteristics of the novel coronavirus are yet to be fully elucidated. We use phenomenological models that have been validated during previous outbreaks to generate and assess short-term forecasts of the cumulative number of confirmed reported cases in Hubei province, the epicenter of the epidemic, and for the overall trajectory in China, excluding the province of Hubei. We collect daily reported cumulative case data for the 2019-nCoV outbreak for each Chinese province from the National Health Commission of China. Here, we provide 5, 10, and 15 day forecasts for five consecutive days, February 5th through February 9th, with quantified uncertainty based on a generalized logistic growth model, the Richards growth model, and a sub-epidemic wave model. Our most recent forecasts reported here based on data up until February 9, 2020, largely agree across the three models presented and suggest an average range of 7,409 – 7,496 additional cases in Hubei and 1,128 – 1,929 additional cases in other provinces within the next five days. Models also predict an average total cumulative case count between 37,415 – 38,028 in Hubei and 11,588 – 13,499 in other provinces by February 24, 2020. Mean estimates and uncertainty bounds for both Hubei and other provinces have remained relatively stable in the last three reporting dates (February 7th – 9th). We also observe that each of the models predicts that the epidemic has reached saturation in both Hubei and other provinces. Our findings suggest that the containment strategies implemented in China are successfully reducing transmission and that the epidemic growth has slowed in recent days.",2020,"Roosa, K.; Lee, Y.; Luo, R.; Kirpich, A.; Rothenberg, R.; Hyman, J. M.; Yan, P.; Chowell, G.",Infectious Disease Modelling,3006028741,#865,True
d13a685f861b0f1ba05afa6e005311ad1820fd3a,CZI,RETRACTED: Chinese medical staff request international medical assistance in fighting against COVID-19,10.1016/s2214-109x(20)30065-6,,32105614,cc-by,,2020,"Zeng, Yingchun; Zhen, Yan",The Lancet. Global health,2627046314,#5386,False
e1b336d8be1a4c0ccc5a1bf41e48b3b004d3ece1,CZI,COVID-19 outbreak on the Diamond Princess cruise ship: estimating the epidemic potential and effectiveness of public health countermeasures,10.1093/jtm/taaa030,,,cc-by-nc,"Cruise ships carry a large number of people in confined spaces with relative homogeneous mixing. On 3 February, 2020, an outbreak of COVID-19 on cruise ship Diamond Princess was reported with 10 initial cases, following an index case on board around 21-25 January. By 4 February, public health measures such as removal and isolation of ill passengers and quarantine of non-ill passengers were implemented. By 20 February, 619 of 3,700 passengers and crew (17%) were tested positive.We estimated the basic reproduction number from the initial period of the outbreak using (SEIR) models. We calibrated the models with transient functions of countermeasures to incidence data. We additionally estimated a counterfactual scenario in absence of countermeasures, and established a model stratified by crew and guests to study the impact of differential contact rates among the groups. We also compared scenarios of an earlier versus later evacuation of the ship.The basic reproduction rate was initially 4 times higher on-board compared to the ${R}_0$ in the epicentre in Wuhan, but the countermeasures lowered it substantially. Based on the modeled initial ${R}_0$ of 14.8, we estimated that without any interventions within the time period of 21 January to 19 February, 2920 out of the 3700 (79%) would have been infected. Isolation and quarantine therefore prevented 2307 cases, and lowered the ${R}_0$ to 1.78. We showed that an early evacuation of all passengers on 3 February would have been associated with 76 infected persons in their incubation time.The cruise ship conditions clearly amplified an already highly transmissible disease. The public health measures prevented more than 2000 additional cases compared to no interventions. However, evacuating all passengers and crew early on in the outbreak would have prevented many more passengers and crew from infection.",2020,"Rocklöv, J.; Sjödin, H.; Wilder-Smith, A.",Journal of Travel Medicine,3006304371,#2926,True
e9239100c5493ea914dc23c3d7a262f4326022ac,CZI,Distinct Roles for Sialoside and Protein Receptors in Coronavirus Infection,10.1128/mBio.02764-19,,,cc-by,"Coronaviruses (CoVs) are common human and animal pathogens that can transmit zoonotically and cause severe respiratory disease syndromes. CoV infection requires spike proteins, which bind viruses to host cell receptors and catalyze virus-cell membrane fusion. Several CoV strains have spike proteins with two receptor-binding domains, an S1A that engages host sialic acids and an S1B that recognizes host transmembrane proteins. As this bivalent binding may enable broad zoonotic CoV infection, we aimed to identify roles for each receptor in distinct infection stages. Focusing on two betacoronaviruses, murine JHM-CoV and human Middle East respiratory syndrome coronavirus (MERS-CoV), we found that virus particle binding to cells was mediated by sialic acids; however, the transmembrane protein receptors were required for a subsequent virus infection. These results favored a two-step process in which viruses first adhere to sialic acids and then require subsequent engagement with protein receptors during infectious cell entry. However, sialic acids sufficiently facilitated the later stages of virus spread through cell-cell membrane fusion, without requiring protein receptors. This virus spread in the absence of the prototype protein receptors was increased by adaptive S1A mutations. Overall, these findings reveal roles for sialic acids in virus-cell binding, viral spike protein-directed cell-cell fusion, and resultant spread of CoV infections.IMPORTANCE CoVs can transmit from animals to humans to cause serious disease. This zoonotic transmission uses spike proteins, which bind CoVs to cells with two receptor-binding domains. Here, we identified the roles for the two binding processes in the CoV infection process. Binding to sialic acids promoted infection and also supported the intercellular expansion of CoV infections through syncytial development. Adaptive mutations in the sialic acid-binding spike domains increased the intercellular expansion process. These findings raise the possibility that the lectin-like properties of many CoVs contribute to facile zoonotic transmission and intercellular spread within infected organisms.",2020,"Qing, Enya; Hantak, Michael; Perlman, Stanley; Gallagher, Tom",mBio,3005811007,#2427,True
469ed0f00c09e2637351c9735c306f27acf3aace,CZI,First two months of the 2019 Coronavirus Disease (COVID-19) epidemic in China: real-time surveillance and evaluation with a second derivative model,10.1186/s41256-020-00137-4,,,cc-by,"Similar to outbreaks of many other infectious diseases, success in controlling the novel 2019 coronavirus infection requires a timely and accurate monitoring of the epidemic, particularly during its early period with rather limited data while the need for information increases explosively.",2020,"Chen, Xinguang; Yu, Bin",Global Health Research and Policy,3006645647,#5595,True
4e550e034ccca6fa2a91e481ddba24db67bc9ae5,CZI,Effectiveness of airport screening at detecting travellers infected with novel coronavirus (2019-nCoV),10.2807/1560-7917.ES.2020.25.5.2000080,,,cc-by,"We simulated 100 2019-nCoV infected travellers planning to board a flight who would pose a risk for seeding transmission in a new region. The duration of travel was considered as the flight time plus a small amount of additional travel time (ca 1 hour) for airport procedures. We assumed that infected individuals will develop symptoms, including fever, at the end of their incubation period (mean 5.2 days (Table)) [8] and progress to more severe symptoms after a few days, resulting in hospitalisation and isolation. We also took into account that individuals may have asymptomatic (subclinical) infection that would not be detected by thermal scanning or cause them to seek medical care, although these individuals may be infectious, and that infected travellers may exhibit severe symptoms during their travel and be hospitalised upon arrival without undergoing entry screening. We then estimated the proportion of infected travellers who would be detected by exit and entry screening, develop severe symptoms during travel, or go undetected, under varying assumptions of: (i) the duration of travel; (ii) the sensitivity of exit and entry screening; (iii) the proportion of asymptomatic infections; (iv) the incubation period and (v) the time from symptom onset to hospitalisation (Table).",2020,"Quilty, Billy J; Clifford, Sam; group2, CMMID nCoV working; Flasche, Stefan; Eggo, Rosalind M",Eurosurveillance,3005151538,#682,True
4bbb0c59babc718f67953fae032dad6ae0d7aeb1,CZI,Genome Detective Coronavirus Typing Tool for rapid identification and characterization of novel coronavirus genomes,10.1093/bioinformatics/btaa145,,32108862,cc-by-nc,"SUMMARY: Genome Detective is a web-based, user-friendly software application to quickly and accurately assemble all known virus genomes from next generation sequencing datasets. This application allows the identification of phylogenetic clusters and genotypes from assembled genomes in FASTA format. Since its release in 2019, we have produced a number of typing tools for emergent viruses that have caused large outbreaks, such as Zika and Yellow Fever Virus in Brazil. Here, we present The Genome Detective Coronavirus Typing Tool that can accurately identify the novel severe acute respiratory syndrome (SARS) related coronavirus (SARS-CoV-2) sequences isolated in China and around the world. The tool can accept up to 2,000 sequences per submission and the analysis of a new whole genome sequence will take approximately one minute. The tool has been tested and validated with hundreds of whole genomes from ten coronavirus species, and correctly classified all of the SARS-related coronavirus (SARSr-CoV) and all of the available public data for SARS-CoV-2. The tool also allows tracking of new viral mutations as the outbreak expands globally, which may help to accelerate the development of novel diagnostics, drugs and vaccines to stop the COVID-19 disease. AVAILABILITY: https://www.genomedetective.com/app/typingtool/cov. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",2020,"Cleemput, S.; Dumon, W.; Fonseca, V.; Karim, W. A.; Giovanetti, M.; Alcantara, L. C.; Deforche, K.; de Oliveira, T.","Bioinformatics (Oxford, England)",3003548522,#2776,True
c821803c55c6aad89b6d0c1d3ba252051e464017,CZI,Case of the Index Patient Who Caused Tertiary Transmission of Coronavirus Disease 2019 in Korea: the Application of Lopinavir/Ritonavir for the Treatment of COVID-19 Pneumonia Monitored by Quantitative RT-PCR,10.3346/jkms.2020.35.e79,,,cc-by-nc,"Since mid-December of 2019, coronavirus disease 2019 (COVID-19) has been spreading from Wuhan, China. The confirmed COVID-19 patients in South Korea are those who came from or visited China. As secondary transmissions have occurred and the speed of transmission is accelerating, there are rising concerns about community infections. The 54-year old male is the third patient diagnosed with COVID-19 in Korea. He is a worker for a clothing business and had mild respiratory symptoms and intermittent fever in the beginning of hospitalization, and pneumonia symptoms on chest computerized tomography scan on day 6 of admission. This patient caused one case of secondary transmission and three cases of tertiary transmission. Hereby, we report the clinical findings of the index patient who was the first to cause tertiary transmission outside China. Interestingly, after lopinavir/ritonavir (Kaletra, AbbVie) was administered, beta-coronavirus viral loads significantly decreased and no or little coronavirus titers were observed.",2020,"Lim, Jaegyun; Jeon, Seunghyun; Shin, Hyun-Young; Kim, Moon Jung; Seong, Yu Min; Lee, Wang Jun; Choe, Kang-Won; Kang, Yu Min; Lee, Baeckseung; Park, Sang-Joon",Journal of Korean Medical Science,3005657121,#3770,True
c3bee2a4caca614b34f92c17b643b854dcdab28d,CZI,Emergence of Novel Coronavirus 2019-nCoV: Need for Rapid Vaccine and Biologics Development,10.3390/pathogens9020148,,,cc-by,"Novel Coronavirus (2019-nCoV) is an emerging pathogen that was first identified in Wuhan, China in late December 2019. This virus is responsible for the ongoing outbreak that causes severe respiratory illness and pneumonia-like infection in humans. Due to the increasing number of cases in China and outside China, the WHO declared coronavirus as a global health emergency. Nearly 35,000 cases were reported and at least 24 other countries or territories have reported coronavirus cases as early on as February. Inter-human transmission was reported in a few countries, including the United States. Neither an effective anti-viral nor a vaccine is currently available to treat this infection. As the virus is a newly emerging pathogen, many questions remain unanswered regarding the virus&rsquo;s reservoirs, pathogenesis, transmissibility, and much more is unknown. The collaborative efforts of researchers are needed to fill the knowledge gaps about this new virus, to develop the proper diagnostic tools, and effective treatment to combat this infection. Recent advancements in plant biotechnology proved that plants have the ability to produce vaccines or biopharmaceuticals rapidly in a short time. In this review, the outbreak of 2019-nCoV in China, the need for rapid vaccine development, and the potential of a plant system for biopharmaceutical development are discussed.",2020,"Shanmugaraj, Balamurugan; Malla, Ashwini; Phoolcharoen, Waranyoo",Pathogens,3003886061,#1502,True
715842fa536064980818ad7e31ce511272a4b6bc,CZI,The coronavirus 2019-nCoV epidemic: Is hindsight 20/20?,10.1016/j.eclinm.2020.100289,,,cc-by-nc-nd,,2020,"Malta, Monica; Rimoin, Anne W.; Strathdee, Steffanie A.",EClinicalMedicine,3004912618,#3333,True
